date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
17:18:36	674/674	---MC-	200	added ('OK')	text/javascript	date:Sat,%2018%20Jul%202020%2011:48:15%20GMT	https://www.google.com/recaptcha/api.js	D:/Chandu/UI-Templates/CV-template/www.google.com/recaptcha/api.js	(from https://lmpixels.com/demo/breezycv/dark/1/index.html)
17:18:36	24719/24719	---MCZ	200	added ('OK')	application/javascript	etag:W/%225e46d310-608f%22	https://lmpixels.com/demo/breezycv/dark/1/js/perfect-scrollbar.min.js	D:/Chandu/UI-Templates/CV-template/lmpixels.com/demo/breezycv/dark/1/js/perfect-scrollbar.min.js	(from https://lmpixels.com/demo/breezycv/dark/1/index.html)
17:18:37	14462/14462	---MCZ	200	added ('OK')	application/javascript	etag:W/%22588b884a-387e%22	https://lmpixels.com/demo/breezycv/dark/1/js/jquery.shuffle.min.js	D:/Chandu/UI-Templates/CV-template/lmpixels.com/demo/breezycv/dark/1/js/jquery.shuffle.min.js	(from https://lmpixels.com/demo/breezycv/dark/1/index.html)
17:18:37	23601/23601	---MCZ	200	added ('OK')	application/javascript	etag:W/%22588b5000-5c31%22	https://lmpixels.com/demo/breezycv/dark/1/js/masonry.pkgd.min.js	D:/Chandu/UI-Templates/CV-template/lmpixels.com/demo/breezycv/dark/1/js/masonry.pkgd.min.js	(from https://lmpixels.com/demo/breezycv/dark/1/index.html)
17:18:37	42766/42766	---MCZ	200	added ('OK')	application/javascript	etag:W/%2258b6c1e0-a70e%22	https://lmpixels.com/demo/breezycv/dark/1/js/owl.carousel.min.js	D:/Chandu/UI-Templates/CV-template/lmpixels.com/demo/breezycv/dark/1/js/owl.carousel.min.js	(from https://lmpixels.com/demo/breezycv/dark/1/index.html)
17:18:37	20216/20216	---MCZ	200	added ('OK')	application/javascript	etag:W/%2256c83aa6-4ef8%22	https://lmpixels.com/demo/breezycv/dark/1/js/jquery.magnific-popup.min.js	D:/Chandu/UI-Templates/CV-template/lmpixels.com/demo/breezycv/dark/1/js/jquery.magnific-popup.min.js	(from https://lmpixels.com/demo/breezycv/dark/1/index.html)
17:18:37	7350/7350	---MCZ	200	added ('OK')	application/javascript	etag:W/%2256efffa2-26e3%22	https://lmpixels.com/demo/breezycv/dark/1/js/jquery.googlemap.js	D:/Chandu/UI-Templates/CV-template/lmpixels.com/demo/breezycv/dark/1/js/jquery.googlemap.js	(from https://lmpixels.com/demo/breezycv/dark/1/index.html)
17:18:38	9046/9046	---MCZ	200	added ('OK')	application/javascript	etag:W/%225899cb40-2d44%22	https://lmpixels.com/demo/breezycv/dark/1/js/validator.js	D:/Chandu/UI-Templates/CV-template/lmpixels.com/demo/breezycv/dark/1/js/validator.js	(from https://lmpixels.com/demo/breezycv/dark/1/index.html)
17:18:43	4769/4769	---MCZ	200	added ('OK')	application/javascript	etag:W/%225eb288a3-2b48%22	https://lmpixels.com/demo/breezycv/dark/1/js/main.js	D:/Chandu/UI-Templates/CV-template/lmpixels.com/demo/breezycv/dark/1/js/main.js	(from https://lmpixels.com/demo/breezycv/dark/1/index.html)
17:18:43	214/214	---MC-	302	error ('Found')	text/html	date:Sat,%2018%20Jul%202020%2011:48:23%20GMT	https://lmpixels.com/demo/breezycv/dark/1/css/owl.video.play.png	D:/Chandu/UI-Templates/CV-template/lmpixels.com/demo/breezycv/dark/1/css/owl.video.play.png	(from https://lmpixels.com/demo/breezycv/dark/1/css/owl.carousel.css)
